wallet,name,pnl,usdc_amount,link
0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,nojnn,"$120,297.64 (47.82%)",29872.75658,https://polymarket.com/0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e
0x5ed3561e39d6c9a9622c6f84a782537df7f9b19e,Vivaldi007,"$98,334.06 (88.4%)",29832.77364,https://polymarket.com/0x5ed3561e39d6c9a9622c6f84a782537df7f9b19e
0x7881bd1324486af7b3c43eefe11318f768cef022,legday333,"$9,652.52 (12.63%)",20068.4556,https://polymarket.com/0x7881bd1324486af7b3c43eefe11318f768cef022
0xa268d4480a3785a3297ee2dbec955bb32e66d60b,iwantasianwomen,"$18,609.55 (465.24%)",14180.45163,https://polymarket.com/0xa268d4480a3785a3297ee2dbec955bb32e66d60b
0xad142563a8d80e3f6a18ca5fa5936027942bbf69,myfirstpubes,"$15,758.45 (67.06%)",13064.35836,https://polymarket.com/0xad142563a8d80e3f6a18ca5fa5936027942bbf69
0x274c45994bfa0912cf8bee503190952e6af7da86,anon,"$52,991.84 (211.97%)",11484.615,https://polymarket.com/0x274c45994bfa0912cf8bee503190952e6af7da86
0xbc43a2f0deb85ba4ad316300762972089c911540,westminster,"$36,840.56 (85.36%)",9044.5542,https://polymarket.com/0xbc43a2f0deb85ba4ad316300762972089c911540
0x53821614977237082ab6ece055657b9d0438f18f,VinceShelby,"$100,228.67 (291.2%)",8211.808,https://polymarket.com/0x53821614977237082ab6ece055657b9d0438f18f
0x557aca156c39e007146e3b3372c4fd6150ea3d56,anon,"$12,673.16 (109%)",6230,https://polymarket.com/0x557aca156c39e007146e3b3372c4fd6150ea3d56
0x2139c42f577cdc179a0ea361a6c265950fc2ebb8,Omeregozi,"$5,983.32 (2,393.4%)",5988.8731,https://polymarket.com/0x2139c42f577cdc179a0ea361a6c265950fc2ebb8
0xaa6474093cf727e0f409dee75a6b2aac12a1a43d,TheRealNancyPelosi,"$6,060.00 (21.03%)",5330.917,https://polymarket.com/0xaa6474093cf727e0f409dee75a6b2aac12a1a43d
0x4ea67bdde5af4942a2c8f117730064cbe04ab249,Faquarl,"$9,233.73 (53.26%)",4843.21,https://polymarket.com/0x4ea67bdde5af4942a2c8f117730064cbe04ab249
0x712ca5c3110f7bdf7e01b4760fc371e7fae44be0,anon,"$9,975.38 (3,327.96%)",4503.6978,https://polymarket.com/0x712ca5c3110f7bdf7e01b4760fc371e7fae44be0
0x976d6c17577fd7de2ad10b02c6bcd1d3b3147de0,potnoodle,"$133,678.20 (400.96%)",,https://polymarket.com/zh/@potnoodle?tab=positions
0xa88ae542bceba25738df7830270b272da6803e8c,Haborerr,"$25,219.80 (78.71%)",16188.5309,https://polymarket.com/@haborerr?tab=activity
0x4d1de18e209968c2732cd39fcad91548eee75aa0,anon,"$70,992.15 (179.78%)",3478.989,https://polymarket.com/0x4d1de18e209968c2732cd39fcad91548eee75aa0
0x2e29fc8a478a458d63028c88f3bc1e89bfa66572,SpaceNatureStone,"$281,155.48 (1,034.38%)",27181.68,https://polymarket.com/0x2e29fc8a478a458d63028c88f3bc1e89bfa66572
0xf99f21209545865c45961f413b93b8a2c46b8742,unsx,"$85,600.10 (266.04%)",17257.56,https://polymarket.com/0xf99f21209545865c45961f413b93b8a2c46b8742
0x1fa35bd1435def4701e626b85c54370e8952da4a,Pytus,"$32,303.38 (276.08%)",16232.95514,https://polymarket.com/0x1fa35bd1435def4701e626b85c54370e8952da4a
0x45f2736ab887ab27f9d33b2855b22eccfe58ac3c,CasualFox99,"$40,649.10 (51.78%)",12581.03,https://polymarket.com/0x45f2736ab887ab27f9d33b2855b22eccfe58ac3c
0x34d27af7413310a83ee83566ecd5a193e63c75a8,TheBigBlind,"$37,999.98 (380%)",10000,https://polymarket.com/0x34d27af7413310a83ee83566ecd5a193e63c75a8
0x6fcac84365abab055cf438754ed5a14c78f605bc,Thomas58,"$115,717.60 (252.73%)",9814.654,https://polymarket.com/0x6fcac84365abab055cf438754ed5a14c78f605bc
0x80c5b2b9d09808bf015bdbd377b3f32f7029333d,BulkeyBull,"$55,136.21 (305.45%)",8713.999998,https://polymarket.com/0x80c5b2b9d09808bf015bdbd377b3f32f7029333d
0x2974bd0059e48f215c391882976e0f1b4c8c9c23,anon,"$67,292.26 (184.46%)",5999.999999,https://polymarket.com/0x2974bd0059e48f215c391882976e0f1b4c8c9c23
0x50d16390bb4e4ca29ae88b538d93d1b6d92427eb,HolyPixel,"$35,793.63 (829.39%)",2781.239999,https://polymarket.com/0x50d16390bb4e4ca29ae88b538d93d1b6d92427eb
